Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned,Year
Amy Craig,F,SBD,Raw,24.5,24-34,24-39,Open,68.2,69,157.5,170,177.5,NA,177.5,87.5,92.5,-95,NA,92.5,167.5,182.5,-190,NA,182.5,452.5,1,464.4,458.45,404.34,94.36,Yes,Scotland,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Henry Goldstraw,M,SBD,Raw,18.5,18-19,19-23,Open,101.4,105,275,290,303.5,NA,303.5,180,190,195,NA,195,280,295,-307.5,NA,295,793.5,4,485.51,480.29,458.65,99.58,Yes,UK,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Ahmad Abdulla,M,SBD,Raw,22.5,20-23,19-23,Open,81.6,83,215,230,-240,NA,230,130,135,137.5,NA,137.5,215,-230,-230,NA,215,582.5,20,397.06,392.82,378.15,81.33,Yes,Qatar,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Artem Terekhov,M,SBD,Raw,19,18-19,19-23,Open,92.7,93,255,265,267.5,NA,267.5,170,177.5,182.5,NA,182.5,272.5,277.5,282.5,NA,282.5,732.5,4,466.78,460.86,441.14,95.98,Yes,NA,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Ryuichi Inubushi,M,SBD,Raw,21,20-23,19-23,Open,66,66,200,-215,-220,NA,200,151.5,-159,-159,NA,151.5,197.5,212.5,-225,NA,212.5,564,9,441.91,442.85,430.32,87.92,Yes,Japan,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Shunya Kametani,M,SBD,Raw,21,20-23,19-23,Open,90.65,93,225,237.5,-250,NA,237.5,145,-155,155,NA,155,227.5,250,-265,NA,250,642.5,17,413.95,408.68,391.56,85.11,Yes,Japan,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Mayya Filimonova,F,SBD,Raw,20.5,20-23,19-23,Open,56.65,57,142.5,147.5,152.5,NA,152.5,70,75,NA,NA,75,137.5,145,152.5,NA,152.5,380,3,437.13,443.08,391.84,89.55,Yes,Russia,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Ilya Marichev,M,SBD,Raw,23.5,24-34,24-39,Open,73.45,74,278,298,312.5,NA,312.5,145,-155,-155,NA,145,305,340.5,NA,NA,340.5,798,1,580.29,577.07,558.09,117.61,Yes,Russia,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Hiroki Sugino,M,SBD,Raw,19.5,20-23,19-23,Open,81.2,83,225,235,242.5,NA,242.5,155,160,165,NA,165,255,265,272.5,NA,272.5,680,8,464.83,459.95,442.88,95.18,Yes,Japan,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Sarah Lau,F,SBD,Raw,23.5,24-34,24-39,Open,51.85,52,87.5,95,100,NA,100,62.5,-67.5,-67.5,NA,62.5,120,130,140,NA,140,302.5,5,369.46,377.95,335.06,76.57,Yes,Singapore,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Kohei Hoshino,M,SBD,Raw,20,20-23,19-23,Open,65.5,66,-200,210,225,NA,225,122.5,127.5,130,NA,130,225,245,-257.5,NA,245,600,5,472.78,474.08,460.84,93.91,Yes,Japan,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
